school_code,school_name,2011,2012,2013,2014,2015,2016,2017,,
1001,Abbotsford Public School,94.3,95.9,95.7,95.3,94.6,95.2,94.1,,
1002,Aberdeen Public School,93.6,94.2,95.2,95.3,95,92.7,91.9,,
1003,Abermain Public School,93.5,93,92,92.8,91.4,91.5,92.8,,
1007,Adaminaby Public School,95.4,96.4,97.2,96.2,90.9,85.5,95.6,,
1008,Adamstown Public School,94.8,95.4,94.7,95.8,95.1,93.2,93,,
1009,Adelong Public School,93.5,94.3,93.8,93.4,93.3,92.7,91.3,,
3640,Afterlee Public School,87.5,89.8,92.4,93.4,93.9,97,93,,
8493,Airds High School,81.2,80.4,82.7,83.4,82.3,83,80.1,,
4177,Albert Park Public School,89.6,88.6,85.9,88.3,87.1,87.9,87,,
8586,Albion Park High School,88.6,88.5,88.9,89.2,87.1,86.7,87.8,,
1015,Albion Park Public School,93.6,94.2,94.7,93.9,93.6,93.5,93.1,,
4121,Albion Park Rail Public School,92.5,92.7,92,93.7,92.2,93.9,91.2,,
8101,Albury High School,88.4,89.9,89.6,89.5,89.5,90.4,89.2,,
3922,Albury North Public School,92.6,91.8,93.6,93.4,93.2,91.9,92.7,,
1017,Albury Public School,95,95,94.6,94.8,94.2,93.8,94.1,,
1019,Albury West Public School,92,92.8,91.2,93.6,91.9,93.2,92.1,,
4601,Aldavilla Public School,92.3,91.6,92,92.5,92.9,92.7,93.4,,
8556,Alexandria Park Community School,91.9,90.2,93.1,90.9,91,91.5,91.4,,
4605,Alfords Point Public School,94.9,95,94.6,95.7,96.1,94.3,94,,
4200,Allambie Heights Public School,93.8,96.2,96.1,96.5,95.2,95.6,95.3,,
1028,Alma Public School,89.4,91.2,92,92,90.8,90.9,91.7,,
8578,Alstonville High School,90,89.3,90,89.6,89.3,90.6,91.2,,
1030,Alstonville Public School,93.3,93.4,93.9,94.3,93.7,93.6,93,,
8570,Ambarvale High School,86.9,87.1,86.3,87.5,86,86.1,88,,
4505,Ambarvale Public School,92,92.4,92.8,94.9,92.9,93.5,92,,
1035,Ando Public School,97.1,,,,,,,,
1040,Anna Bay Public School,94.2,94,93.7,93.7,93.7,93.7,93.3,,
1042,Annandale North Public School,95.5,95.6,95.8,96.8,96.4,96.5,97.4,,
1041,Annandale Public School,95.6,94.1,94.9,93.9,93.5,94.6,95,,
3719,Annangrove Public School,93.1,93.6,92.9,93,94,93.4,91.2,,
4656,Anzac Park Public School,,,,,,na,95.2,,
1045,Appin Public School,94.5,95.4,95.2,95.4,94.7,95,94,,
1048,Arcadia Public School,95.2,95.3,95.5,95.7,95.2,95.4,94.4,,
4132,Arcadia Vale Public School,94.7,95.5,94.3,94.7,94.5,93.4,93.2,,
1051,Ardlethan Central School,90.1,92.2,90.8,92.4,94,92.2,93.7,,
3904,Argenton Public School,91,93.2,91.7,91.3,92.5,94.3,91.4,,
1055,Ariah Park Central School,91.2,91.4,91.4,92.5,90.6,92.1,90,,
1057,Armidale City Public School,94.3,94.2,94.1,95.2,94.3,93.4,92.9,,
8102,Armidale High School,90.3,86.3,88.6,87.2,85.6,85.3,87.6,,
7401,Arncliffe Public School,96.1,95.5,95.6,95.9,94.5,94.2,94.3,,
5103,Arncliffe West Infants School,97.1,96.3,95.3,94.7,94.3,93.4,96.4,,
1061,Artarmon Public School,96.3,96.6,95.8,97.3,96.8,96.8,96.6,,
8892,Arthur Phillip High School,88.7,88.4,91.7,90.6,90.3,90.2,89.2,,
1064,Ashbury Public School,94.5,94.8,95.3,94.6,94.6,95.3,95.2,,
8397,Ashcroft High School,86.5,84.7,85.4,87.1,85.1,86.1,83.9,,
4344,Ashcroft Public School,91.4,92.7,93,94.1,91.9,92.6,88.9,,
8832,Ashfield Boys High School,91.3,91.8,91.5,90.8,90.3,90.7,91.1,,
1065,Ashfield Public School,95.1,94.3,94.2,95.9,95,95,94.1,,
1066,Ashford Central School,91.9,92.6,90.5,91.7,90.7,89.8,89.8,,
4375,Ashmont Public School,90.5,90.8,91.2,88.8,89.1,88.4,88.8,,
4642,Ashtonfield Public School,94.8,94.1,94.3,93.5,93.7,94.2,93.7,,
8245,Asquith Boys High School,91.2,93.2,93,94.2,92.8,93.2,93.3,,
8222,Asquith Girls High School,94.1,93,92.9,94.4,92.7,92.7,93.6,,
1070,Asquith Public School,95.2,94.8,94.8,96,95.2,94.6,95.2,,
3453,Athelstane Public School,94.4,94.3,95,95.4,93,93.6,92.7,,
1071,Attunga Public School,96.4,95.7,95.7,92.6,91.8,93,92.7,,
8253,Auburn Girls High School,91.3,90.8,91.5,90.8,90.8,90.8,87.7,,
1073,Auburn North Public School,94.9,96,95.5,95.7,95.4,94.3,92.9,,
7403,Auburn Public School,95.7,95.2,95.9,96.1,93,93.8,92.4,,
1075,Auburn West Public School,95.9,95,94.8,95.7,92.7,93.1,91,,
1076,Austinmer Public School,95.4,95.6,94.7,95,95.3,94.5,95.4,,
1077,Austral Public School,94.2,94.2,95.5,94.3,93.6,93.6,94.4,,
5104,Australia Street Infants School,94.9,94.1,96.8,97.1,96.2,94.2,94.9,,
3792,Avalon Public School,94.1,94.5,94.9,94.8,93.3,94.1,94.7,,
1082,Avoca Beach Public School,95.4,96,96.1,95.8,94.6,94.3,93.5,,
1081,Avoca Public School,90,91.5,92.3,93.3,94.3,94.2,91.3,,
1084,Awaba Public School,91.7,96.2,93.8,95.4,96,94.6,95,,
1091,Badgerys Creek Public School,91.1,93.8,93.9,93.7,,,,,
4291,Balarang Public School,94.3,93.7,95.1,95.5,94.8,94.6,95.8,,
1098,Bald Blair Public School,95.1,95.1,96.5,96.4,94.3,94.9,88.3,,
3794,Bald Face Public School,96,96.7,96.1,96.3,95.7,96.5,95.7,,
3736,Balgowlah Heights Public School,95,95.7,95.9,96,95.7,95.9,95.3,,
3984,Balgowlah North Public School,96.2,96.3,95.9,96.3,95.1,95.1,95.7,,
1106,Balgownie Public School,96.1,96.6,96.4,96.7,95.1,95.5,95.2,,
1111,Ballimore Public School,96.5,95.5,97.9,97.8,98.5,97.5,95.8,,
8195,Ballina High School,85,82,83.3,82.7,82.6,80.7,86.9,,
1112,Ballina Public School,91.9,91.4,92.6,93.6,93.3,92.9,89.6,,
