school_name,average_FOEI_2016/2017,2018_preliminary_RAM_total_funding,variance_to_2017_needs-based_allocation,"total_three_year_variance_(2016, 2017, 2018)"
Abbotsford Public School,14,"360,171","66,043","148,481"
Aberdeen Public School,133,"500,998","81,413","209,034"
Abermain Public School,149,682.178,"76,328","216,255"
Adaminaby Public School,105,"36,419","-3,072","8,673"
Adamstown Public School,74,"241,041","45,539","102,587"
Adelong Public School,105,"87,995","2,855","31,938"
Afterlee Public School,135,"40,607","-2,586",5.114
Airds High School,167,"1,488,043","102,503","219,547"
Ajuga School,172,"119,000","7,627","23,555"
Albert Park Public School,130,"212,625","72,342","136,070"
Albion Park High School,115,"990,038","59,435",309.309
Albion Park Public School,117,"517,307","16,750","221,828"
Albion Park Rail Public School,145,"894,512","162,663","296,010"
Albury High School,74,"751,336","41,757",154.156
Albury North Public School,158,"745,666","-45,969","48,884"
Albury Public School,51,"399,467","28,050","118,533"
Albury West Public School,161,"433,063","88,357","176,329"
Aldavilla Public School,127,"643,092","48,273","228,548"
Alexandria Park Community School,70,"896,020","225,098","437,885"
Alfords Point Public School,59,222.49,"14,641","43,005"
Allambie Heights Public School,14,"264,986","12,247","88,576"
Alma Public School,154,"969,175","39,381","245,920"
Alstonville High School,72,552.98,"5,766","83,479"
Alstonville Public School,72,"408,220","26,654","110,426"
Ambarvale High Sc hool,144,"1,646,470","107,189","402,720"
Ambarvale Public School,149,"803,598","144,771","324,832"
Anna Bay Public School,113,"406,645","36,546","162,757"
Annandale North Public School,3 or less,"188,292","19,636","70,609"
Annandale Public School,3 or less,"286,941","3,829","131,377"
Annangrove Public School,89,"51,788","-2,200","19,035"
Anson Street School,152,"301,831","96,733","202,630"
Anzac Park Public School,3 or less,"254,558","136,063","196,578"
Appin Public School,96,"275,015","14,305","101,954"
Arcadia Public School,61,"43,705","-6,754","5,432"
Arcadia Vale Public School,108,"145,157","33,201","67,442"
Ardlet han Centra l School,121,"158,832","-14,264","36,479"
Argenton Public School,157,"82,732","-6,015","7,739"
Ariah Park Central School,109,"230,698","58,395","108,959"
Armidale City Public School,63,"487,327","83,266","214,735"
