February Actual Student Enrolments for Secondary Schools (2014-2018),,,,,,
School Code,School Name,2014,2015,2016,2017,2018
8493,Airds High School,444.935,466.391,454,456,439
8586,Albion Park High School,856,845.088,800.564,802,777.696
8101,Albury High School,1074.935,1031,1026.544,973.544,1002
8578,Alstonville High School,854.696,858.644,805.34,752.391,761
8570,Ambarvale High School,792.468,773,796,743,749
8102,Armidale High School,729,716.896,642.239,571.502,508.24
8892,Arthur Phillip High School,1406.482,1362.545,1373.442,1329.564,1194.236
8397,Ashcroft High School,529,521,514,517.012,522
8832,Ashfield Boys High School,695.654,724,698,701,724
8245,Asquith Boys High School,575.316,569.251,584.935,607.804,604
8222,Asquith Girls High School,934.164,908.72,901.796,832.656,813.34
8253,Auburn Girls High School,777,802,809,805,815
8195,Ballina High School,432.492,407.24,401.644,329.656,774.832
8254,Bankstown Girls High School,606,550,542,540,536
8381,Bankstown Senior College,367.047,405.492,378.276,431.11,364.175
8282,Banora Point High School,504,505.936,557.544,594.848,584.696
8461,Barham High School,182.391,168.391,160,153,146.696
8454,Barrenjoey High School,673,647,687,717,717
8223,Bass High School,764,772,720,657.392,606.696
8581,Batemans Bay High School,627.936,629.176,648.479,674.566,715
8464,Baulkham Hills High School,1218.088,1213.981,1211.979,1216.663,1221.891
8165,Bega High School,911.504,869.416,837.503,780.24,793.592
8258,Bellingen High School,626.808,601.12,586.056,578.175,566.252
8203,Belmont High School,1088.459,1005.653,965.021,920.977,872.428
8804,Belmore Boys High School,319,296.544,295,318,338
8255,Beverly Hills Girls High School,1186.696,1214,1159.392,1189.568,1128.252
8503,Billabong High School,352,381.391,405,405.392,400.087
8213,Birrong Boys High School,339,331,389,400,354
8854,Birrong Girls High School,813.164,808,787.264,795.972,777.936
8244,Blacktown Boys High School,410.088,439.112,473.696,510.848,583.924
8224,Blacktown Girls High School,707.848,719.544,723,725,761
8236,Blakehurst High School,1097.109,1085.804,1111.48,1100.796,1126
8522,Blaxland High School,964.187,984.895,1001.34,1010.656,1021.428
8357,Blayney High School,412.24,390,372.485,365.936,353.376
8448,Bomaderry High School,870,819,775,756.468,754
8486,Bombala High School,165,134,119,120,129
8260,Bonnyrigg High School,1241,1327,1435,1510,1592
8582,Bossley Park High School,1501.544,1502,1456.392,1456.391,1460
8355,Bourke High School,172,152,160,142,152
8104,Bowral High School,872.34,886.58,877.696,865.239,815.478
8513,Brisbane Water Secondary College Umina Campus,837,857,906,891,888
8374,Brisbane Water Secondary College Woy Woy Campus,808.958,780.132,733.261,721.392,667.928
8105,Broken Hill High School,693.936,660.2,661.016,663,647
8878,Bulli High School,835.392,851.869,874,889,904
8152,Burwood Girls High School,1145.707,1164.908,1153.399,1115.591,1130.719
8577,Byron Bay High School,809.139,821,845.312,852.311,860.272
8209,Cabramatta High School,1435,1400,1362,1487,1506
8880,Callaghan College Jesmond Campus,749.878,779.358,811.467,817.111,687.562
8259,Callaghan College Wallsend Campus,1071,1106,1096,1066,1092
8508,Callaghan College Waratah Technology Campus,562,566,588,614,709
8516,Cambridge Park High School,621,633,713,743,745
8280,Camden Haven High School,1129.264,1147.112,1158.124,1141.936,1194.732
8217,Camden High School,1095.544,1096.391,1074,1125.391,1110.015
8910,Cammeraygal High School[1],0,95,204,370,502
8180,Campbelltown Performing Arts High School,1131.328,1129.48,1117.4,1102.696,1083.696
8393,Canley Vale High School,1391,1427,1443,1484,1526
8444,Canobolas Rural Technology High School,742,655,599,585.544,615.631
8518,Canowindra High School,216,223,252,247,242.924
8107,Canterbury Boys High School,403.391,394.023,357.48,343.696,347.088
8806,Canterbury Girls High School,694.307,688.123,703.007,726.555,744.008
8903,Cardiff High School,723.696,723.391,710,735.413,706
8240,Caringbah High School,910.948,913.654,913.468,914.884,915.1
8447,Carlingford High School,1154.415,1158.34,1156.02,1228.3,1232.744
8154,Casino High School,711,687.924,691,663,665
8382,Castle Hill High School,1403.775,1464.231,1526.072,1595.464,1717.008
8476,Casula High School,666,702,751,797,858
8273,Cecil Hills High School,1203.872,1206.784,1259.696,1323.656,1361.936
8108,Cessnock High School,611.696,593.262,586.163,556.567,559
8414,Chatham High School,636.1,623.1,631.935,590.108,549.566
8232,Chatswood High School,1374,1352,1434.87,1396.896,1486.34
8208,Cheltenham Girls High School,1245.501,1244.446,1243.544,1267.862,1339.643
8592,Cherrybrook Technology High School,2026,1991.544,1952,1931,1981.62
8269,Chester Hill High School,1220,1220,1172.585,1269,1253
8528,Chifley College Bidwill Campus,616,609.544,620,609.936,615.544
8488,Chifley College Dunheved Campus,266,270,295,307,314
8459,Chifley College Mount Druitt Campus,521,513,488,424,423
8473,Chifley College Senior Campus,571.632,577.632,557,567,521
8496,Chifley College Shalvey Campus,380,376,357,320,323
8288,Cleveland Street Intensive English High School,252,201,224,171,132
8356,Cobar High School,280.48,285.221,258.589,257.936,262.376
8109,Coffs Harbour High School,944.871,935.643,938.024,946.948,1014.328
8272,Coffs Harbour Senior College,497.047,527.002,518.03,503.017,496.81
8526,Colo High School,1022,1011.022,966.544,963,946.239
8443,Colyton High School,744,741,719,661,674
